Rank,Elementary-secondary revenue,,,,,,,,Current spending,,,,,,,,,,,
,,,,,,,,,,,Instruction,,,,,,,,,
,,,From federal,,From state,,From local,,,,,,,,Employee,,General,,School,
,Total,,sources,,sources,,sources,,Total,,Total,,Salaries,,benefits,,administration,,administration,
,US..........,"17,448",US..........,"1,838",US..........,"7,909",US..........,"7,702",US..........,"14,347",US..........,"8,728",US..........,"5,417",US..........,"2,390",US..........,278,US..........,801
1,DC..........,"33,365",AK..........,"3,345",VT..........,"23,970",DC..........,"30,026",NY..........,"26,571",NY..........,"18,402",NY..........,"10,831",NY..........,"5,659",DC..........,"1,571",DC..........,"1,825"
2,NY..........,"32,104",DC..........,"3,339",HI..........,"16,163",NY..........,"18,493",DC..........,"24,535",CT..........,"13,784",DC..........,"9,837",NJ..........,"4,712",NH..........,734,VT..........,"1,677"
3,VT..........,"27,196",MT..........,"2,932",WA..........,"12,835",CT..........,"15,399",VT..........,"23,586",VT..........,"13,675",CT..........,"8,598",CT..........,"4,440",MO..........,703,CT..........,"1,308"
4,CT..........,"26,455",ND..........,"2,924",AK..........,"12,596",NH..........,"13,770",CT..........,"22,769",NJ..........,"13,223",MA..........,"8,520",IL..........,"4,393",ME..........,653,HI..........,"1,216"
5,NJ..........,"26,163",VT..........,"2,747",DE..........,"12,310",NJ..........,"13,344",NJ..........,"22,160",MA..........,"12,725",VT..........,"8,148",VT..........,"4,328",ND..........,624,NY..........,"1,187"
6,MA..........,"23,939",ME..........,"2,742",NY..........,"12,147",MA..........,"12,681",MA..........,"20,376",DC..........,"12,342",NJ..........,"7,436",PA..........,"4,096",IL..........,558,AK..........,"1,173"
7,PA..........,"22,935",CA..........,"2,711",NJ..........,"11,478",PA..........,"12,400",AK..........,"19,540",NH..........,"12,134",NH..........,"7,282",MA..........,"3,845",CT..........,547,NH..........,"1,126"
8,NH..........,"22,189",SD..........,"2,679",MN..........,"11,115",IL..........,"10,818",NH..........,"19,443",IL..........,"11,215",RI..........,"7,066",NH..........,"3,564",MN..........,530,MD..........,"1,102"
9,IL..........,"21,663",WY..........,"2,525",WY..........,"10,540",RI..........,"10,748",RI..........,"18,366",PA..........,"11,167",MD..........,"6,620",DE..........,"3,407",PA..........,461,NJ..........,"1,097"
10,RI..........,"21,445",LA..........,"2,342",NM..........,"10,480",ME..........,"10,066",IL..........,"18,316",RI..........,"10,830",WY..........,"6,549",AK..........,"3,401",VT..........,440,IL..........,983
11,WY..........,"20,821",MS..........,"2,336",KS..........,"10,209",MD..........,"9,863",WY..........,"18,144",WY..........,"10,677",ME..........,"6,536",RI..........,"3,357",OH..........,422,WY..........,960
12,ME..........,"20,726",MI..........,"2,302",CA..........,"10,148",OH..........,"9,277",PA..........,"17,884",MD..........,"10,644",MN..........,"6,332",MI..........,"3,079",NY..........,421,MA..........,958
13,DE..........,"20,434",KY..........,"2,239",MA..........,"9,872",NE..........,"8,951",ME..........,"17,671",AK..........,"10,413",PA..........,"6,291",WY..........,"3,067",NJ..........,420,ME..........,945
14,AK..........,"20,254",WV..........,"2,161",MI..........,"9,674",CO..........,"7,819",DE..........,"17,448",ME..........,"10,034",ND..........,"6,199",HI..........,"3,016",MT..........,408,CA..........,938
15,MD..........,"19,735",AR..........,"2,140",CT..........,"9,628",WY..........,"7,756",HI..........,"16,550",HI..........,"9,997",HI..........,"6,100",MD..........,"2,944",WY..........,400,WA..........,937
16,CA..........,"19,512",AZ..........,"2,109",OR..........,"9,512",VA..........,"7,739",MD..........,"16,417",DE..........,"9,970",WA..........,"6,016",ME..........,"2,836",SD..........,376,DE..........,937
17,WA..........,"18,972",HI..........,"2,103",ND..........,"9,386",MO..........,"7,683",WA..........,"15,570",WA..........,"9,370",DE..........,"6,013",OR..........,"2,794",KS..........,356,CO..........,922
18,HI..........,"18,374",RI..........,"2,030",AR..........,"9,376",LA..........,"7,521",ND..........,"15,140",MN..........,"9,320",IL..........,"5,999",ND..........,"2,428",MS..........,347,RI..........,909
19,ND..........,"18,347",NM..........,"2,013",IL..........,"9,141",TX..........,"7,371",CA..........,"14,985",ND..........,"9,280",AK..........,"5,743",CA..........,"2,422",LA..........,341,OR..........,906
20,MN..........,"17,955",AL..........,"2,009",WI..........,"8,735",SD..........,"6,691",OH..........,"14,613",CA..........,"8,882",OH..........,"5,628",WA..........,"2,406",NE..........,337,VA..........,801
21,MI..........,"17,728",PA..........,"1,961",RI..........,"8,667",SC..........,"6,690",MN..........,"14,378",OH..........,"8,759",NE..........,"5,614",KY..........,"2,372",OK..........,331,SC..........,799
22,OR..........,"17,558",CO..........,"1,831",PA..........,"8,574",GA..........,"6,666",MI..........,"14,085",NE..........,"8,591",VA..........,"5,481",VA..........,"2,335",IA..........,319,ND..........,788
23,OH..........,"17,391",SC..........,"1,827",IN..........,"8,537",CA..........,"6,653",OR..........,"13,875",VA..........,"8,432",CA..........,"5,253",MN..........,"2,225",MA..........,296,LA..........,787
24,WI..........,"16,143",MO..........,"1,786",MD..........,"8,493",OR..........,"6,574",VA..........,"13,835",KS..........,"8,260",IA..........,"5,245",WI..........,"2,200",WI..........,294,PA..........,781
25,IA..........,"15,658",OK..........,"1,776",IA..........,"7,936",DE..........,"6,565",NE..........,"13,826",MI..........,"8,075",MT..........,"5,180",DC..........,"2,186",AR..........,278,GA..........,771
26,LA..........,"15,657",TN..........,"1,766",ME..........,"7,918",MT..........,"6,386",WI..........,"13,597",WI..........,"8,029",KS..........,"5,152",NE..........,"2,175",RI..........,276,MI..........,758
27,SC..........,"15,629",TX..........,"1,754",WV..........,"7,863",FL..........,"6,151",KS..........,"13,449",OR..........,"8,016",WI..........,"5,026",IN..........,"2,151",NM..........,273,NV..........,756
28,MT..........,"15,519",GA..........,"1,749",NV..........,"7,324",ND..........,"6,037",LA..........,"13,397",MT..........,"7,867",TX..........,"4,948",LA..........,"2,133",KY..........,271,OH..........,753
29,KS..........,"15,446",FL..........,"1,724",KY..........,"7,179",IA..........,"6,012",MT..........,"13,299",WV..........,"7,607",GA..........,"4,809",WV..........,"2,102",AK..........,264,KS..........,748
30,VA..........,"15,400",IA..........,"1,710",SC..........,"7,112",WI..........,"6,009",WV..........,"13,059",IA..........,"7,564",MO..........,"4,714",OH..........,"2,097",AL..........,263,MT..........,738
31,NE..........,"15,371",IL..........,"1,704",NC..........,"7,104",MI..........,"5,752",IA..........,"12,695",GA..........,"7,464",NM..........,"4,589",GA..........,"2,032",CA..........,241,IA..........,734
32,WV..........,"15,322",ID..........,"1,689",AL..........,"7,071",WV..........,"5,298",SC..........,"12,496",LA..........,"7,461",CO..........,"4,583",SC..........,"1,847",CO..........,229,KY..........,733
33,CO..........,"15,293",MN..........,"1,682",NH..........,"6,846",MN..........,"5,159",CO..........,"12,255",KY..........,"7,221",OR..........,"4,531",IA..........,"1,796",TN..........,225,IN..........,716
34,MO..........,"15,121",OH..........,"1,607",OH..........,"6,507",TN..........,"5,080",GA..........,"12,145",NM..........,"7,072",SC..........,"4,492",KS..........,"1,766",VA..........,222,WV..........,711
35,NM..........,"14,972",NH..........,"1,572",ID..........,"6,420",AZ..........,"5,061",NM..........,"12,127",SC..........,"7,069",WV..........,"4,480",NC..........,"1,731",IN..........,222,WI..........,702
36,GA..........,"14,535",DE..........,"1,559",VA..........,"6,264",OK..........,"5,039",KY..........,"12,126",NC..........,"6,816",NC..........,"4,451",NV..........,"1,685",MI..........,219,MO..........,697
37,IN..........,"14,338",WA..........,"1,550",MT..........,"6,202",KY..........,"4,790",MO..........,"11,865",MO..........,"6,771",SD..........,"4,446",NM..........,"1,594",OR..........,202,NE..........,686
38,KY..........,"14,208",NE..........,"1,495",GA..........,"6,121",WA..........,"4,587",IN..........,"11,538",CO..........,"6,645",MI..........,"4,351",MT..........,"1,593",WV..........,199,NM..........,685
39,TX..........,"13,827",OR..........,"1,472",LA..........,"5,793",IN..........,"4,578",AR..........,"11,266",TX..........,"6,598",KY..........,"4,312",UT..........,"1,587",ID..........,191,TN..........,664
40,SD..........,"13,731",NY..........,"1,464",MO..........,"5,653",AK..........,"4,313",TX..........,"11,005",IN..........,"6,572",TN..........,"4,285",MO..........,"1,504",GA..........,185,AL..........,662
41,AR..........,"13,209",NV..........,"1,463",CO..........,"5,644",UT..........,"4,286",SD..........,"10,952",SD..........,"6,472",LA..........,"4,271",AL..........,"1,455",AZ..........,182,NC..........,649
42,AL..........,"13,180",NC..........,"1,457",MS..........,"5,605",MS..........,"4,186",AL..........,"10,683",TN..........,"6,397",AR..........,"4,221",CO..........,"1,417",DE..........,167,TX..........,621
43,FL..........,"12,433",CT..........,"1,428",UT..........,"5,529",AL..........,"4,101",NC..........,"10,655",AL..........,"6,348",IN..........,"4,000",TN..........,"1,417",TX..........,163,MS..........,611
44,NV..........,"12,406",KS..........,"1,426",TN..........,"5,445",KS..........,"3,810",TN..........,"10,507",FL..........,"6,301",MS..........,"3,992",MS..........,"1,390",WA..........,151,OK..........,597
45,TN..........,"12,290",WI..........,"1,399",OK..........,"5,166",NV..........,"3,620",OK..........,"10,498",NV..........,"6,295",NV..........,"3,945",OK..........,"1,319",NV..........,135,AR..........,583
46,MS..........,"12,126",VA..........,"1,397",NE..........,"4,925",NC..........,"3,031",NV..........,"10,450",AR..........,"6,262",AL..........,"3,912",ID..........,"1,276",MD..........,117,UT..........,581
47,OK..........,"11,981",MA..........,"1,386",AZ..........,"4,730",ID..........,"2,524",FL..........,"10,401",OK..........,"5,964",OK..........,"3,741",SD..........,"1,246",NC..........,110,MN..........,579
48,AZ..........,"11,900",MD..........,"1,378",TX..........,"4,702",NM..........,"2,479",MS..........,"10,170",MS..........,"5,853",ID..........,"3,687",AR..........,"1,238",FL..........,109,FL..........,557
49,NC..........,"11,592",NJ..........,"1,341",FL..........,"4,557",AR..........,"1,693",AZ..........,"9,611",UT..........,"5,778",AZ..........,"3,665",AZ..........,"1,175",SC..........,108,SD..........,537
50,UT..........,"10,875",IN..........,"1,223",SD..........,"4,360",VT..........,479,UT..........,"9,095",ID..........,"5,484",FL..........,"3,534",FL..........,"1,174",UT..........,95,ID..........,512
51,ID..........,"10,634",UT..........,"1,059",DC..........,(X),HI..........,108,ID..........,"9,053",AZ..........,"5,294",UT..........,"3,514",TX..........,887,HI..........,47,AZ..........,466
